Date,Score,Frequency
2018-02-28 23:00:00,0.036162280701754396,19
2018-02-28 22:00:00,0.13379169849758085,17
2018-02-28 21:00:00,0.07774527774527774,37
2018-02-28 20:00:00,0.0671813055365687,38
2018-02-28 19:00:00,0.14524542297979795,32
2018-02-28 18:00:00,0.20141432641432647,39
2018-02-28 17:00:00,0.07211380105401845,46
2018-02-28 16:00:00,0.1098821262511739,42
2018-02-28 15:00:00,0.13282401574379188,67
2018-02-28 14:00:00,0.10345017636684302,81
2018-02-28 13:00:00,0.12253126503126503,48
2018-02-28 12:00:00,0.10653102453102453,25
2018-02-28 11:00:00,0.07112845487845487,26
2018-02-28 10:00:00,0.06681818181818182,10
2018-02-28 09:00:00,0.08274301456119638,11
2018-02-28 08:00:00,0.011792557932263813,34
2018-02-28 07:00:00,0.09875,12
2018-02-28 06:00:00,0.11666666666666665,3
2018-02-28 05:00:00,0.056672494172494176,26
2018-02-28 04:00:00,0.07084920634920634,25
2018-02-28 03:00:00,0.1755952380952381,31
2018-02-28 02:00:00,0.08923625657496626,31
2018-02-28 01:00:00,0.1294784580498866,21
2018-02-28 00:00:00,0.01669047619047619,20
2018-02-27 23:00:00,0.08908182591218304,28
2018-02-27 22:00:00,0.09460784313725491,34
2018-02-27 21:00:00,0.07622398474857114,68
2018-02-27 20:00:00,0.09633580973424724,32
2018-02-27 19:00:00,0.19922385123556993,32
2018-02-27 18:00:00,0.10586336807450253,34
2018-02-27 17:00:00,0.08849614845938376,34
2018-02-27 16:00:00,0.1153778196310664,42
2018-02-27 15:00:00,0.09272383926989192,38
2018-02-27 14:00:00,0.1205139541309754,47
2018-02-27 13:00:00,0.023628048780487805,41
2018-02-27 12:00:00,0.0837037037037037,15
2018-02-27 11:00:00,0.023775252525252526,30
2018-02-27 10:00:00,0.012161246612466124,41
2018-02-27 09:00:00,-0.0050911458333333295,16
2018-02-27 08:00:00,0.04314236111111111,8
2018-02-27 07:00:00,0.13333333333333333,2
2018-02-27 06:00:00,-0.13489583333333333,3
2018-02-27 05:00:00,0.1723148148148148,9
2018-02-27 04:00:00,0.1353030303030303,10
2018-02-27 03:00:00,0.075,17
2018-02-27 02:00:00,0.07134986225895318,11
2018-02-27 01:00:00,0.0879469696969697,25
2018-02-27 00:00:00,0.04280819559228649,22
2018-02-26 23:00:00,0.03683441558441559,20
2018-02-26 22:00:00,0.03075008903133903,26
2018-02-26 21:00:00,0.08911068071782356,37
2018-02-26 20:00:00,0.05738636363636363,24
2018-02-26 19:00:00,0.026143452064504698,38
2018-02-26 18:00:00,0.08909580498866213,56
2018-02-26 17:00:00,0.09970855168223589,38
2018-02-26 16:00:00,0.13946051479384813,39
2018-02-26 15:00:00,0.09318478344046525,66
2018-02-26 14:00:00,0.14895072352903682,83
2018-02-26 13:00:00,0.1070028195488722,38
2018-02-26 12:00:00,0.1497681768988587,22
2018-02-26 11:00:00,0.053349673202614384,17
2018-02-26 10:00:00,0.017245989304812834,17
2018-02-26 09:00:00,0.07916666666666668,14
2018-02-26 08:00:00,-0.016498316498316498,9
2018-02-26 07:00:00,0.09166666666666666,22
2018-02-26 06:00:00,0.196969696969697,11
2018-02-26 05:00:00,0.09100919913419912,28
2018-02-26 04:00:00,0.08632478632478632,13
2018-02-26 03:00:00,0.09071212121212122,15
2018-02-26 02:00:00,-0.11849173553719007,11
2018-02-26 01:00:00,0.1134368235930736,16
2018-02-26 00:00:00,0.10202308802308803,24
2018-02-25 23:00:00,0.10811752731395587,28
2018-02-25 22:00:00,0.09353535353535353,15
2018-02-25 21:00:00,0.10555555555555556,6
2018-02-25 20:00:00,0.183843537414966,14
2018-02-25 19:00:00,0.12369383490073146,29
2018-02-25 18:00:00,0.19059917355371903,11
2018-02-25 17:00:00,0.20503787878787877,10
2018-02-25 16:00:00,0.10128600823045267,27
2018-02-25 15:00:00,0.08628389154704945,19
2018-02-25 14:00:00,0.11400000000000002,10
2018-02-25 13:00:00,0.09213907785336357,7
2018-02-25 12:00:00,0.0037074314574314622,25
2018-02-25 11:00:00,-0.005519480519480495,7
2018-02-25 10:00:00,0.0,18
2018-02-25 09:00:00,0.09247615039281705,18
2018-02-25 08:00:00,-0.02954545454545453,11
2018-02-25 07:00:00,0.0,6
2018-02-25 06:00:00,0.21666666666666667,1
2018-02-25 05:00:00,0.5,4
2018-02-25 04:00:00,0.09333333333333334,4
2018-02-25 03:00:00,0.10504385964912281,19
2018-02-25 02:00:00,0.18888888888888888,6
2018-02-25 01:00:00,0.09399470899470902,15
2018-02-25 00:00:00,0.0790966386554622,17
2018-02-24 23:00:00,0.20471380471380474,9
2018-02-24 22:00:00,0.05625,8
2018-02-24 21:00:00,-0.00023056653491435646,23
2018-02-24 20:00:00,0.09488636363636364,8
2018-02-24 19:00:00,0.042985409652076305,27
2018-02-24 18:00:00,0.20858843537414964,7
2018-02-24 17:00:00,0.011706349206349206,21
2018-02-24 16:00:00,0.10677244382601525,21
2018-02-24 15:00:00,0.20882936507936506,14
2018-02-24 14:00:00,0.09798216151664427,29
2018-02-24 13:00:00,0.08597848230201172,17
2018-02-24 12:00:00,0.161198347107438,22
2018-02-24 11:00:00,0.1325568181818182,8
2018-02-24 10:00:00,0.2275,4
2018-02-24 09:00:00,0.02749287749287749,39
2018-02-24 08:00:00,0.05256734006734007,18
2018-02-24 07:00:00,0.021428571428571436,14
2018-02-24 06:00:00,-0.10555555555555557,3
2018-02-24 05:00:00,0.1369047619047619,11
2018-02-24 04:00:00,0.24743506493506495,12
2018-02-24 03:00:00,0.15502635046113306,23
2018-02-24 02:00:00,0.23857808857808857,13
2018-02-24 01:00:00,0.1322222222222222,15
2018-02-24 00:00:00,0.05460526315789474,19
2018-02-23 23:00:00,0.1871428571428571,14
2018-02-23 22:00:00,0.20020346320346322,20
2018-02-23 21:00:00,0.1033942525908435,55
