Date,Score
2/27/2018,0.125548171
2/26/2018,0.130033676
2/25/2018,0.142274252
2/24/2018,0.140892488
2/23/2018,0.142664936
2/22/2018,0.158166298
2/21/2018,0.147882165
2/20/2018,0.125254831
2/19/2018,0.143852755
2/18/2018,0.153400471
2/17/2018,0.152045284
2/16/2018,0.14751023
2/15/2018,0.138987588
2/14/2018,0.145798181
2/13/2018,0.138652786
2/12/2018,0.138609351
2/11/2018,0.180859441
2/10/2018,0.172812918
2/9/2018,0.130937583
2/8/2018,0.142933749
2/7/2018,0.126929383
2/6/2018,0.122786206
2/5/2018,0.114544336
2/4/2018,0.178317933
2/3/2018,0.164373852
2/2/2018,0.096237202
2/1/2018,0.104215311
1/31/2018,0.155653789
1/30/2018,0.107153219
1/29/2018,0.107153864
1/28/2018,0.234076026
1/27/2018,0.234728355
1/26/2018,0.186487458
1/25/2018,0.138244148
1/24/2018,0.115858053
1/23/2018,0.135168038
1/22/2018,0.130704258
1/21/2018,0.183921854
1/20/2018,0.178498693
1/19/2018,0.126045057
1/18/2018,0.13117145
1/17/2018,0.119968462
1/16/2018,0.146668478
1/15/2018,0.183256698
1/14/2018,0.180115415
1/13/2018,0.16070441
1/12/2018,0.142645731
1/11/2018,0.145245958
1/10/2018,0.146333053
1/9/2018,0.136492219
1/8/2018,0.148485685
1/7/2018,0.204321293
1/6/2018,0.207011432
1/5/2018,0.13242877
1/4/2018,0.166645627
1/3/2018,0.151569862
1/2/2018,0.143489604
1/1/2018,0.143489604
